Indicator,Trade flow,Commodity,Partner,Reporter,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
Value (US$),Exports,02 Meat and edible meat offal,World,Mexico,110005209,123809932,128765655,132671087,142573518,140902399,125177763,143746099,138277981,141521848,141213132,,132799496,126165571,145062428,124629822,156116839,146193115,157670470,147820857,136423068,159729165,152029004,160688921,146747732,145632665,148234209,134255000,183543364,173156203,171253990,160036424,148301318,157149620,162924646,152257711,161066866,164148693,178920599,180446710,193592978,180825084,193648564,427103730,179086559,205873211,198685158,218158468,184637494,201551912,222283896,221678974,280190132,276580559,225847248,230508743,215903117,195764863,
Value (US$),Exports,02 Meat and edible meat offal,World,USA,998162210,1026575704,1145106526,1147641673,1254212521,1239784994,1235126642,1291549039,1228594963,1283885250,1399989972,1386105120,,1190043158,,1262794027,,,,1424944318,,1503168651,1517531861,1473234177,1371951513,1349028601,1530199521,1497445842,1494605104,1442404204,1413503451,1463784781,1349457542,1502142314,1456813866,1397518821,1300231393,1207768356,1398893911,1404540860,1541765651,1518700100,1602553687,1536933841,1421037480,1487374531,1603707038,1638086596,1634223239,1634157256,1729020566,1516122365,1344214150,1219405722,1404136867,1430789176,1391906506,1556421294,1655135234
Value (US$),Exports,07 Vegetables and certain roots and tubers; edible,Canada,Mexico,7457737,5900320,6385521,5877938,4233385,1851561,1511826,1204330,811291,1667353,4481115,,5772345,5460484,6067815,5016136,3738292,1669026,1338766,624856,817471,1997541,4851260,7061684,6893993,5153815,5946099,4844327,4182892,1975417,1375560,1023000,1464718,3018888,7027200,8526996,7563566,5902356,5964227,4810239,4489966,2926968,1868703,1991779,2273007,2784937,5194521,7642901,7887267,5940367,7482307,4986400,4566725,4201736,1831644,1847210,2109915,3738480,
Value (US$),Exports,07 Vegetables and certain roots and tubers; edible,Canada,USA,326155439,260863272,270304817,250033517,257280503,219966704,180205032,144524838,162462360,192677782,223381270,254554712,262488002,249159282,273082748,286892129,,243751282,202042900,158719633,,205476258,242495064,273551124,293794185,240621620,282771251,244348977,266834960,227222579,185103512,153196193,158006671,204301144,252057657,308925779,305260699,264552836,315288346,287937856,283470018,257445134,222884117,172090876,155712970,204745473,242870837,271597972,314651828,276337076,309261281,246220204,264703895,232452877,222002787,169552103,172053826,226752205,258817618
Value (US$),Exports,07 Vegetables and certain roots and tubers; edible,Mexico,Canada,2338336,4686269,2916237,2124335,2774983,2410931,1370741,2000183,2182851,2715756,2729220,3623119,5569305,7703118,4648614,1051571,1983377,1123364,2912881,4849401,6071755,4517906,4953902,3346973,5126391,8723982,6165525,13117149,10635933,8404173,4704031,9852935,8530508,4490060,3288658,1961542,2317001,2263998,2963995,1306035,2311782,2145178,2420153,1058638,728791,606711,1181426,1267754,2135859,2479192,2545194,1606007,2826501,4320272,3273442,2528070,1701966,2620840,1628532
Value (US$),Exports,07 Vegetables and certain roots and tubers; edible,Mexico,USA,24805436,29117240,25179145,24515987,21253939,21498015,20479645,30350982,28308853,27546439,24100399,23923544,22012336,21715177,25613611,21598851,,22138110,23957449,37181803,,50930539,31944269,33851602,28138686,23613896,23484375,24552646,22330685,21049959,21673641,32284346,30207703,36741357,30641190,29671076,35117760,25152162,24657312,25020259,24619628,22608772,27612984,34230752,33540274,38478955,39861870,34003625,31045030,27804392,27857045,29664460,25058876,25787915,28077541,31431957,46753711,61426135,45306429
Value (US$),Exports,07 Vegetables and certain roots and tubers; edible,USA,Canada,115560187,105920196,125186228,150860841,168969553,179288387,195634884,208433522,198704188,170229911,135709428,109943586,119168228,105204280,129258454,149858486,178969934,185698817,212144373,220137017,225620053,214789541,159574464,128626212,145233219,119934744,142884238,162823658,192869768,203773326,233255222,235629332,224176166,206492988,167910938,140330991,142107231,121039166,143284863,179863443,196482428,201649821,234338653,234951424,234812797,212352695,162938423,130415978,141660610,122678678,183990736,202066090,235678151,245453833,266781252,253375482,262483609,230036038,183060269
Value (US$),Exports,07 Vegetables and certain roots and tubers; edible,USA,Mexico,684591682,831791340,852759348,621208323,509849610,399506855,309893333,287115026,318015334,417677478,547539223,,626674217,696717376,802201494,598770744,561261005,386452688,331782993,317667977,294565542,465486200,566131815,690060880,789057971,709702513,796948933,632722556,570355160,408271917,367852987,332089795,316957063,480599866,547186177,727577036,825199778,758890248,856960387,758922967,626171640,441133634,503602465,503063649,377172373,511873660,595844753,757132140,924687363,843602117,1010451357,654004398,580581663,637685372,463804692,411315719,486440229,599780668,
Value (US$),Exports,07 Vegetables and certain roots and tubers; edible,World,Canada,353545789,287644373,308081011,323978295,297520060,334524959,296338145,347644454,662697897,644702597,491746157,480880377,395436393,338825036,433711764,392647385,367317723,346273853,293820343,315150851,532741900,442491299,350390256,288881475,281921242,249449030,292795163,342692888,361004207,364969919,380584634,351054096,425990776,393933507,342080492,295527341,317509265,316281362,286030903,352440696,398547560,392527938,410207971,337279980,495883614,406679196,355905913,307313420,316840489,343336600,407690218,531050041,547627427,534758820,500298640,351506592,658200222,580427273,430020509
Value (US$),Exports,07 Vegetables and certain roots and tubers; edible,World,Mexico,707263409,847290234,865459510,643681971,541716904,424368280,339689475,315422636,337518711,440909523,572007675,,641457209,714453406,840083257,632941424,627945316,438762664,359464761,346502284,323228750,487999984,589487119,711655740,804682512,725416604,829992547,667637363,610432244,440855883,396888924,356796780,341743282,507125402,583543154,758981523,847189516,780399384,880756831,789356624,651353531,468526711,521991114,519517807,393534429,535552715,634928033,785418760,951703304,865403415,1033857501,685719893,614986909,660855139,481283757,423465294,506004471,628695553,
Value (US$),Exports,07 Vegetables and certain roots and tubers; edible,World,USA,469926536,415438694,439443674,412206646,406965005,357529958,295270664,298548653,370903288,387744253,418518041,428932818,,421724320,,444661516,,,,307765273,,388684252,424980396,444776881,434078764,398526998,452087041,393253668,406942225,349036757,301488660,280880468,286057942,350644256,392554722,458584731,453975904,419275642,486467599,424290255,418297219,375838701,348730830,313479170,282450838,347937503,399867336,415262387,452535341,421764790,471425061,406514158,424172665,374804605,350587671,341247221,325015759,409531078,421919366
Value (US$),Exports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Canada,Mexico,11883985,11624241,13265852,16672211,18519537,20464915,22584231,21197111,19664658,21216410,24919296,,18407449,20013485,29219144,25008001,39105392,24394384,22552144,33082214,33854382,22471264,19317978,20006200,20905025,18220480,28367854,29255275,26809397,26577620,26900570,28526876,20950098,19206792,20837775,16383621,18529120,20810145,23062043,26954114,33755475,27395437,38716674,40880896,19634785,18346140,21601178,16088799,24159605,26508750,30660840,44288343,29918589,40570032,23313063,18248994,18396280,22144574,
Value (US$),Exports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Canada,USA,236629936,252784587,268251217,285671596,379288976,363936076,309184981,279596921,264993681,272079166,268391894,246663862,250736584,242589342,274320889,286416371,,377170217,338576830,276099250,,274113310,275030425,261224517,269505623,250778676,283678454,292536125,342083996,389520001,326397091,255143392,268207823,261884519,282371614,254284409,254895979,250118313,274543750,290000620,331737565,386156215,332270406,289215156,260550746,269181847,290223542,259358347,248964492,254522107,302283997,260612363,347320904,377329872,356777622,289424528,263463318,293693653,283638683
Value (US$),Exports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Mexico,Canada,,,,,,,,,,72299,440358,71105,166120,,,,,,,,,109538,161493,166841,7389,,,,,,,,,193171,141403,122063,46297,,,,,,193324,,,144717,161847,56640,125866,76562,127113,49065,52187,23174,51884,,1463414,42337,395892
Value (US$),Exports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Mexico,USA,47308571,56394965,57949157,58988369,64620786,75313441,73088981,72251738,67471526,65719420,61131637,64474733,64928546,57080054,58257312,49164597,,83767790,81587291,74452400,,83267672,78503862,65566304,76119142,67965824,67660000,80865508,78313402,80577222,93750048,114476733,93643972,92555578,76492533,66368877,68095668,63761586,65482897,66791004,76877393,83227438,111381251,101943601,97388760,100084096,83132076,64564691,64743508,70375239,83170683,59871785,56584937,68579124,77476949,79860784,95858413,96779397,78407431
Value (US$),Exports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",USA,Canada,16742798,16782519,20477671,19871960,17700140,32732004,74610510,67770640,40823547,74141575,32015097,20528135,20396476,17971984,22372436,19874654,20637931,18136558,68166762,87797054,37161831,49624361,28954592,15107463,19106412,18937762,20366582,22334100,23206540,20501777,63450786,98424783,47531005,65948036,32099414,20051933,23792655,23573881,24731456,26246170,27332976,23469065,85059987,86360457,39534060,49949476,29421190,22788339,26788076,23941884,25712727,24426985,27641196,23475856,64303517,94945847,45608644,65787897,34608379
Value (US$),Exports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",USA,Mexico,316274666,358381261,389269925,479774606,488373743,389390917,288862800,275911243,304902766,337162138,531868269,,417250144,418944834,556461597,521260635,626500613,477581793,309379082,410737814,393993660,354406101,386267281,501386204,467690536,463781175,535787350,589799367,629638031,499142946,370958898,392050294,297508248,363478478,390539677,465603440,503602444,493714715,559304878,688933148,668527851,594689726,507475825,498471522,352600947,421196561,430888007,511342248,546175926,532434728,701912628,744281553,570076638,772203711,313418467,368872782,381316167,427620950,
Value (US$),Exports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",World,Canada,27641434,28767101,33706426,31442314,29613320,46032856,105876479,90416798,50016422,84714691,43714164,32755228,31342872,28225364,34982282,31389863,30508064,28855897,88840656,127074589,53181379,62687927,46174079,28766832,34895207,31664567,35831722,36780680,37321029,33552584,91653402,147373779,62402330,81373168,50273457,39351862,39372141,38698578,43991214,40170025,42432068,40177925,109612497,125158761,55733961,66025067,50835751,37490187,44763344,43288300,44213927,41263666,43912428,36998975,84420801,126324034,64044381,84240928,58081566
Value (US$),Exports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",World,Mexico,363521062,412080826,449372743,544680577,540237013,449869397,370891007,357256536,390389398,472192007,674605606,,481907170,495960899,652933739,597701238,704097945,537097767,413063962,523713473,507434580,468650736,485300276,588294964,576858605,548704126,645184041,676364369,704092128,565908790,434908836,486846034,381045902,451182431,478444149,541162957,572496535,573560314,660497142,759751672,744024619,658084651,620015190,641876733,444244516,560130606,617146623,586817130,630879378,625765757,799336004,847433256,633970207,856772039,374768667,436627512,473635442,554477169,
Value (US$),Exports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",World,USA,912766496,1089128828,1070429219,1008044517,1196198113,1157686107,1094160807,977225709,1071880728,1703934986,1675370864,1105554157,,1084531058,,1060359675,,,,1008103489,,1642577860,1753439434,1470223302,1143330034,1270937888,1372202174,1151504107,1116072809,1184631630,1125042067,915753833,1013416127,1432620230,1660796215,1308163042,1154105285,1198741848,1315432702,1126749797,1118786298,1205735184,1234811418,1037151322,1081341819,1585352611,1739148845,1292215983,1124142142,1262129656,1307814027,996716088,1030489324,1073513385,1115293559,933091988,1052743748,1507428308,1539305076
Value (US$),Exports,"22 Beverages, spirits and vinegar",Canada,Mexico,5606662,7486406,7534217,9636965,7968936,4741584,4055308,2319894,5356204,7110989,1478602,,2873359,6066636,7057724,8274100,7640514,3164652,3558901,4335168,2920210,2730803,1616278,967515,1226203,7130754,8732737,6958464,7144502,6382093,5481833,9574585,5785454,5800255,2921554,3329009,6414104,8112804,9536602,17830627,11896844,7275716,4978165,3805924,5193233,6726473,4821809,2451544,4574262,7051443,15138120,13632041,8234016,7030787,5750580,4889133,5219051,4131882,
Value (US$),Exports,"22 Beverages, spirits and vinegar",Canada,USA,138048273,154031803,166637521,175529855,204204341,207817625,192399110,204154626,189691002,208396708,198994543,162648903,169707376,170454816,190497287,171556794,,194722712,218968823,215676738,,208180047,202268543,158260710,158529158,163036462,179995643,190105205,200919516,207796059,205252616,202872998,186970121,191409440,184107418,154038220,144408721,133813978,168173191,182551179,179882637,188443673,204708829,198907956,182376010,199992491,173108330,162360121,163696302,159803936,177363825,156947288,147666546,189802840,209309661,218626488,208528721,223163469,208796205
Value (US$),Exports,"22 Beverages, spirits and vinegar",Mexico,Canada,737764,523975,626398,580266,679196,548468,440429,1148188,602054,726266,654591,492098,561452,338628,762990,825675,723319,397524,633065,610379,446310,172442,329856,675297,265988,215066,428419,317503,765207,594200,436640,529189,371283,514809,493104,547336,314051,322836,207952,248045,249419,369255,406553,511312,454145,468695,113108,417447,284463,507802,309257,329903,315444,59181,317259,249972,326351,374382,343908
Value (US$),Exports,"22 Beverages, spirits and vinegar",Mexico,USA,22122756,35464577,41158529,41094418,38106899,36062932,32524876,38091772,36467623,41929780,43715792,22650327,33135926,30024732,28473356,29762273,,28426190,47161708,42286444,,52497083,35357755,24384143,36612592,36327497,41409700,33176777,39442985,35254435,37668181,44927796,34166914,31726672,39494025,25472802,29387849,27313580,25379908,25910388,32598381,31305114,32436504,27766575,29783986,35114162,21902882,25059116,23877328,24888387,26228191,50302380,38654533,38818543,27069638,39876629,28632104,30817558,31872815
Value (US$),Exports,"22 Beverages, spirits and vinegar",USA,Canada,56329171,54182097,66921733,69144927,70768996,76848719,60785678,65995065,69557128,71116221,73484181,70707879,63536904,59444487,67208901,64651059,77024265,66140107,67451182,68226734,69121768,79299375,76724127,65744532,67421839,68858232,73474750,74453859,85610133,78232945,81950034,70575045,76799084,87208961,92272722,74086027,80295218,81895289,89682228,90254347,92863956,94665388,103102797,81636135,99244547,94601864,93600676,85744793,89126213,88428683,98654552,95130625,86700084,91047595,107076536,95350911,103652436,104233483,106300019
Value (US$),Exports,"22 Beverages, spirits and vinegar",USA,Mexico,229698482,287593157,329346329,322134810,360933279,313551079,258250693,302490317,270571729,293315749,368560438,,298356106,332474077,450544891,383597747,492342178,449086955,411302664,464405532,377176838,404200826,395312540,368748765,366008148,367473945,491021043,465189928,555631968,477264469,517872988,503572169,409630797,499496049,430107834,358208387,350957660,433284139,545658859,569267578,593513021,580878706,595173722,493171364,493784878,550267984,448234607,454821502,452136049,495123744,588777381,562501404,371527249,576155286,634589324,676584364,678573935,687583354,
Value (US$),Exports,"22 Beverages, spirits and vinegar",World,Canada,62036267,61520947,75123712,77005591,79738102,85193251,71079091,76559442,82003048,83513937,84929856,81624696,72674214,67923488,77232062,73152185,87007671,75473344,78058721,79198625,81623776,92449396,89303918,75777490,75310877,76645553,83909725,84898904,94259384,88309821,91350035,81678807,87631893,97105353,101061166,82672198,86537380,88961635,97369899,98829126,101693818,102485058,111935515,93522574,109465551,105437003,102806281,98475092,96059468,96856615,112510989,103941153,100010882,104290486,120369247,101799184,120590227,122365364,115472212
Value (US$),Exports,"22 Beverages, spirits and vinegar",World,Mexico,284188109,349472194,398231193,393599304,418737152,376005458,327294205,376952175,345520141,381263407,437934555,,358540319,393589445,522543916,443404203,564056173,515499700,483511015,539727834,445047291,470842506,490160326,436628327,433917413,477091987,578989679,586179778,645079718,563762035,657968810,591231240,536965336,651985585,530740638,476196058,478421836,537832929,642364730,697436247,733771292,724966924,718444943,597308247,626904625,652732388,529847858,551182328,538626309,601365303,684434649,640031084,437170678,642423713,703394580,751098425,766290945,780678289,
Value (US$),Exports,"22 Beverages, spirits and vinegar",World,USA,512895726,580538339,643324379,654694498,664750178,595076952,659060259,706236838,668831993,741242905,687729435,570614810,,663148301,,598345881,,,,725233422,,760356180,703985011,783745630,559848215,790614080,882427043,798989069,684341152,779982215,725593043,734997993,652928546,761224680,705542856,633844984,600704043,626334884,712738862,730763683,669654617,706933486,681981839,695785122,637961488,753565486,702842186,756739665,721621282,793876084,754245013,625445696,567548307,544483555,552378148,658438144,593644613,795749021,680898166
