Indicator,Trade flow,Commodity,Partner,Reporter,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Canada,USA,81619817,80341810,103651840,136671667,158417836,172628056,188370186,198956625,188257707,154122703,120361050,87267006,86904969,81922606,107620547,137552370,,178258912,205259784,212239213,,199391844,139914011,99492490,107949806,90940816,117591512,147624700,178248555,193771963,224264442,226109067,211951464,186772965,142167451,105420011,99401616,87941347,117974627,165836407,186387529,194764251,230669020,230419473,228644413,199203663,146478173,106440168,109250252,98096297,158333094,187647572,223014310,236787615,258837479,244673675,250308831,214605684,166540000
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Mexico,Canada,141679547,116546017,107596494,72399109,46613744,29156092,24069758,20099566,21413298,39468640,59963695,84740487,109091906,102639801,103817148,79523926,53335580,37282885,27115072,19523932,20724160,40829713,76800923,106223962,132393050,104263636,106454438,70275140,53488713,35374241,27755890,21699365,22278030,46944797,78126798,110186033,132028538,112128607,120410705,80758225,55274398,38524940,28484443,23011689,24211711,46338616,75055379,98870579,133216918,118372035,123941097,71286504,60161474,43121731,36083237,26482755,28868622,51870915,80752895
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Mexico,USA,867241580,887899275,820642897,634801910,470169094,372113028,302306753,286238687,294823474,401496923,486067227,551875083,655889170,706843947,789485204,610324441,,379263075,308586545,287346949,,452267289,548327427,659322537,873006365,742767076,799753262,611470279,531541719,392968120,331686225,324864837,323064392,472825166,554840612,701229579,897949002,787068540,905437662,702045477,549208602,412591171,366666261,341316675,357639253,500481635,599786237,725937068,979545385,907001032,947283647,636828241,630717298,534092187,466956913,417443015,453105173,591157714,689956156
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,USA,Canada,170171052,136431559,157265000,170202720,200621285,181778883,145505521,115659611,128894870,140185725,153335308,159501865,146475220,141604045,163220257,199954643,204942372,197061737,164124097,128684742,131479808,151993686,157886992,158576709,153298746,130652653,167967153,168649972,203591350,182054160,146375747,121388971,123932087,144656405,165982771,188327038,162890698,145323651,188207919,198688915,220338807,209800132,182108457,139289652,122657656,151616020,162432681,163623063,172880178,151277043,178955916,167086564,193503512,178563111,170823109,131785037,130909034,161692389,169393283
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,USA,Mexico,24589027,33779598,24957984,25664596,21485529,22117055,19530873,31005928,29012282,25610823,23442907,,19919236,21373709,25712705,18482556,19188405,21377638,24844988,38137217,42426961,50971061,33117142,36134889,28647618,25008665,24607282,25472803,22500306,20937937,23703871,33292468,32865140,39488845,31855529,29390538,32956268,26356769,25843352,25652454,26102658,23075502,29867145,32415791,35456896,42557285,37471846,38026092,33720967,31453462,29285605,26413447,25770032,27425725,27740843,33700702,54278227,67644796,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,World,Canada,358084392,286927134,296188261,272564565,277129795,240460005,199495326,165694896,180726115,211603363,254408651,296207289,297103210,275840809,302250988,313654010,292047321,267311663,223285742,179971699,186776695,230925587,277893131,308040628,327177425,267186805,309670169,275107338,292987844,244606004,205195233,170933401,180009862,227777779,284390530,351401368,347552032,292118104,349376871,317456392,311406552,277356052,246989070,198237517,184513757,240492552,281714578,318699695,356907699,305959662,343896239,278544368,296387414,260838344,245635182,191527812,200459556,262085551,296896607
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,World,Mexico,42149517,49952339,32925115,31356898,26125899,28041957,24997210,35913211,35829573,32289850,33496874,,40121508,35688532,36788344,23019415,24420943,25630346,29767139,46824628,53059183,65768547,47593566,53196812,48255865,42593058,37288861,42102903,37434744,33546614,32637889,46595263,47555330,52858691,41275257,44722400,49292869,37276288,32642110,31154298,32947016,29791541,35012785,524949090,40433433,48617621,45044061,52219447,52934348,46228117,37787873,32925889,31537592,35437387,36337930,40518464,60804504,79811692,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,World,USA,1147700487,1121339479,1077280192,931457009,796259914,698913160,655810368,696280019,686890700,772991440,824853685,894908237,,948981762,,908775704,,,,684383504,,868065871,909770163,978403511,1195980393,998596741,1094294569,929528752,898239800,755619953,736479607,744705128,729580802,886026540,916557588,1050266213,1217733949,1031680635,1185047454,1038612937,927793451,767280192,788425628,773673433,797670544,922401078,962365408,1074964106,1337063219,1177658104,1282143879,1001027199,1053258132,960663162,932126462,867975827,909837850,1044344217,1082612220
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Canada,Canada,884274,1184817,372113,606575,239933,408719,432596,575137,829383,407518,1878965,592806,1887575,256948,1395575,647762,710314,539630,342188,1495358,2912826,1688719,1310969,1512515,1233106,169580,1740163,2841083,1635238,1245957,1987134,3110900,1068808,516819,365245,981032,1547118,,1166708,1361440,2020880,2104659,1445521,1438059,959644,2312127,2475127,2164558,,,,,,,1258761,,,,
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Canada,Mexico,10528,8029,9332,12315,72491,73466,135879,48526,8780,80105,511181,,284768,76530,109480,51305,156964,153356,68397,143919,61095,217235,250033,263113,99689,138036,179238,47602,109081,129379,85793,105211,129883,402387,343631,255651,137531,468640,553750,715971,354400,384955,61619,9636,136780,339776,478527,227310,156256,212417,233247,153832,,111430,153783,235672,59964,27962,
